"latitude";"longitude";"count"
46.6735536879409;5.55500193917851;5
47.9217;7.1973;9
47.001;7.5;1
50.4272868871621;7.45844023139955;198
51.53333;13.01666;4
51.8643899699631;10.6772582803956;2
49.98333;9.36666;15
49.0727;9.16;7
51.68333;11.41666;3
51.06666;10.73333;19
48.2050699496348;7.36423273868928;2
49.9760948839952;9.14375266662591;65
50;8;75
47.51667;6.8;31
47.9794;7.8965;9
47.9968;7.833;57
49.79972;8.99944;4
48.5577502877346;7.83771514892578;1
47.75935;8.8403;12
51.2708;7.1966;1
52.0714;8.4565;4857
50.44378;8.9239;13
51.189457341121;11.2480683598022;9
50.66057;6.78722;2
49.92139;8.48255;10
47.4096679192002;8.08209415893555;3
48.9073;9.2645;7
51.0581269972694;11.5380963563919;8
49.4;6.96667;2
52.31666;8.36666;2
48.006922;7.818258;9
50.2475;7.4484;1
52.27152;11.85493;4
48.5612535323957;8.22196999468997;1
50.85;9.11666;2
46.90347;6.35542;1
48.5736542292166;7.81153720104976;206
52.837778;11.007778;2
52.08333;14.63333;1
53.06666;12.46666;1
48.0485;7.9554;4
49.7607;9.5147;22
49.9;9.81666;31
49.893529;11.736832;7
51.38333;10.9;62
49.998486;8.010398;2
52.2068;14.7045;2
47.8467867636276;8.0859375;9
51.4679569420138;10.7472570419311;89
48.56;7.6429;1
48.0382169477129;14.4190011541366;9
52.9389750964113;11.7839093571472;2
51.4;14.9;1
50.8337162361631;10.9454402446747;626
48.7216514331108;10.9326971798706;6
51.33333;9.86666;64
52.96666;13.75;7
45.8409466344652;9.66608003173826;2
50.230833;8.607222;6
50.7371161602472;12.5266531693115;1
52.872829;12.052758;1
51.74678508137;11.521337772522;19
50.2324611777834;8.45890201852421;1
47.009289;9.067841;2
50.7249807170894;13.2665848981476;2
47.6743;9.0162;2
48.2191;7.9655;39
49.76666;9.62083;5
52.8914;12.4613;1
49.73333;8.77583;628
47.9301;7.294;2
52.7480223495544;9.3515625;35
49.3286104950392;10.1967384338379;2
54.3212;10.6676;10
51.4476447546065;10.8806477909851;1
52.2637249402439;13.5346281891632;1
47.48327;6.85341;1
48.936705;8.752245;2
51.0845060699783;11.3703614484406;6
47.4583;14.2984;35
48.1202675272745;11.923770904541;6
50.0435;6.4422;1
49.2299856039802;9.68916893005371;1
51.21666;10.5;12
48.4775;7.2163;1
48.3131;6.3937;7
49.79194;9.49361;2
48.0136;7.8566;3
48.3263967519789;9.8927499180603;14
51.21516;13.7281;4
47.9906684230843;7.86033153533936;9
49.31666;10.1;2
50.3577;12.4672;3
46.4982;9.8393;1
50.8844223354407;11.7463753809204;2
53.6;10.6;1
45.101;7.7;8
49.76194;9.51722;106
47.6870302661823;7.80003547668457;1
47.9927;7.846;12
48.9511;7.7671;2
50.2429;10.9745;1
48.0722294244852;7.79926300048828;1
52.78333;12.36666;6
50.8957098215438;12.3542277916183;11
47.7944763628494;11.0064121481934;8
51.3402107084253;12.3747252910157;6723
51.1881664764308;11.7898531323242;2
52.110545;5.18169;1
47.5051;7.3451;2
51.52517;14.00164;1
50.1397;7.7275;15
48.0992205540999;8.05445909500122;2
51.7189436525498;8.7562039021301;22
