"year","month","time","ts","hhi.fmax","hhi.max","hhi.sum","hhi.avg","duration","ts.start","ts.stop"
1690,3,"1690-3-15 00:00:00",1690.21,-2.27679215925918,-2,-5.00197,-1.66732333333333,3,1690.12,1690.29
1709,9,"1709-9-15 00:00:00",1709.71,-2.17130287712703,-2,-5.00197,-1.66732333333333,3,1709.62,1709.79
1804,6,"1804-6-15 00:00:00",1804.46,-2.03577674271884,-2,-5.00197,-1.66732333333333,3,1804.38,1804.54
1898,9,"1898-9-15 00:00:00",1898.71,-1.93449410097126,-2,-5.00197,-1.66732333333333,3,1898.62,1898.79
1731,6,"1731-6-15 00:00:00",1731.46,-1.73003527102792,-1.50197,-5.000011,-1.0000022,5,1731.38,1731.71
1518,12,"1518-12-15 00:00:00",1518.96,-2.67116233030201,-2,-4.961568,-1.653856,3,1518.88,1519.04
1820,4,"1820-4-15 00:00:00",1820.29,-2.2568208587477,-1.992969,-4.954537,-1.65151233333333,3,1820.21,1820.38
1897,1,"1897-1-15 00:00:00",1897.04,-2.37838295518181,-1.992969,-4.954537,-1.65151233333333,3,1896.96,1897.12
1908,1,"1908-1-15 00:00:00",1908.04,-1.76408383679865,-1.50197,-4.913799,-1.22844975,4,1907.96,1908.21
1874,9,"1874-9-15 00:00:00",1874.71,-1.81095446713789,-1.50197,-4.911829,-1.22795725,4,1874.54,1874.79
1990,8,"1990-8-15 00:00:00",1990.62,-2.29175014705752,-1.885456,-4.889396,-1.62979866666667,3,1990.54,1990.71
1506,7,"1506-7-15 00:00:00",1506.54,-2.05226945710425,-1.885456,-4.887426,-1.629142,3,1506.46,1506.62
1571,4,"1571-4-15 00:00:00",1571.29,-2.05434071821295,-1.885456,-4.887426,-1.629142,3,1571.21,1571.38
1689,8,"1689-8-15 00:00:00",1689.62,-2.69555699234622,-1.885456,-4.887426,-1.629142,3,1689.54,1689.71
1699,2,"1699-2-15 00:00:00",1699.12,-2.3394303322259,-1.885456,-4.887426,-1.629142,3,1699.04,1699.21
1734,8,"1734-8-15 00:00:00",1734.62,-1.76266951440553,-1.885456,-4.887426,-1.629142,3,1734.54,1734.71
1924,2,"1924-2-15 00:00:00",1924.12,-2.30219850682182,-1.885456,-4.887426,-1.629142,3,1924.04,1924.21
1938,4,"1938-4-15 00:00:00",1938.29,-2.36798290739423,-1.885456,-4.887426,-1.629142,3,1938.21,1938.38
1989,2,"1989-2-15 00:00:00",1989.12,-2.34190124279986,-1.885456,-4.887426,-1.629142,3,1989.04,1989.21
1881,8,"1881-8-15 00:00:00",1881.62,-2.17406588801166,-2.112398,-4.879473,-1.626491,3,1881.46,1881.62
1611,5,"1611-5-15 00:00:00",1611.38,-2.29156252295299,-1.992969,-4.821853,-1.60728433333333,3,1611.21,1611.38
1836,8,"1836-8-15 00:00:00",1836.62,-2.01065389198461,-1.992969,-4.821853,-1.60728433333333,3,1836.46,1836.62
1904,8,"1904-8-15 00:00:00",1904.62,-1.83957631701958,-1.992969,-4.821853,-1.60728433333333,3,1904.46,1904.62
1596,5,"1596-5-15 00:00:00",1596.38,-2.14009235489193,-1.992969,-4.758074,-1.58602466666667,3,1596.21,1596.38
1638,5,"1638-5-15 00:00:00",1638.38,-2.39152529407375,-1.992969,-4.758074,-1.58602466666667,3,1638.21,1638.38
1844,6,"1844-6-15 00:00:00",1844.46,-2.50421151644978,-1.992969,-4.758074,-1.58602466666667,3,1844.29,1844.46
1880,3,"1880-3-15 00:00:00",1880.21,-1.7469851590615,-1.992969,-4.758074,-1.58602466666667,3,1880.04,1880.21
1507,6,"1507-6-15 00:00:00",1507.46,-1.31925367679011,-1.696463,-4.54975,-1.1374375,4,1507.21,1507.46
1825,4,"1825-4-15 00:00:00",1825.29,-2.10870360325823,-1.696463,-4.463538,-1.487846,3,1825.12,1825.29
1982,5,"1982-5-15 00:00:00",1982.38,-2.2116015689182,-1.696463,-4.463538,-1.487846,3,1982.21,1982.38
1972,9,"1972-9-15 00:00:00",1972.71,-1.89361068279302,-2.009837,-4.455235,-1.48507833333333,3,1972.62,1972.79
1736,8,"1736-8-15 00:00:00",1736.62,-1.22896515567979,-1.265105,-4.441469,-0.8882938,5,1736.29,1736.62
2019,7,"2019-7-15 00:00:00",2019.54,-1.70511405249194,-1.52878,-4.432305,-1.10807625,4,2019.46,2019.71
1621,11,"1621-11-15 00:00:00",1621.88,-1.59056948364829,-1.885456,-4.355257,-1.08881425,4,1621.79,1622.04
1671,5,"1671-5-15 00:00:00",1671.38,-1.24198909200242,-1.50197,-4.355257,-1.08881425,4,1671.21,1671.46
1772,7,"1772-7-15 00:00:00",1772.54,-1.41706492210731,-1.50197,-4.355257,-1.08881425,4,1772.38,1772.62
1839,6,"1839-6-15 00:00:00",1839.46,-1.33647099156998,-1.50197,-4.355257,-1.08881425,4,1839.29,1839.54
1589,10,"1589-10-15 00:00:00",1589.79,-2.21365375033796,-1.885456,-4.330854,-1.443618,3,1589.71,1589.88
1597,4,"1597-4-15 00:00:00",1597.29,-2.20782196648017,-1.885456,-4.330854,-1.443618,3,1597.21,1597.38
1654,2,"1654-2-15 00:00:00",1654.12,-2.11726162363872,-1.885456,-4.330854,-1.443618,3,1654.04,1654.21
1845,1,"1845-1-15 00:00:00",1845.04,-2.04534293724804,-1.885456,-4.330854,-1.443618,3,1844.96,1845.12
1885,7,"1885-7-15 00:00:00",1885.54,-1.59784398816225,-1.885456,-4.330854,-1.443618,3,1885.46,1885.62
1915,6,"1915-6-15 00:00:00",1915.46,-2.20199145430766,-1.885456,-4.330854,-1.443618,3,1915.38,1915.54
1930,2,"1930-2-15 00:00:00",1930.12,-2.00121042050906,-1.885456,-4.330854,-1.443618,3,1930.04,1930.21
1944,5,"1944-5-15 00:00:00",1944.38,-1.82411845957732,-1.885456,-4.330854,-1.443618,3,1944.29,1944.46
1665,6,"1665-6-15 00:00:00",1665.46,-2.16213589768375,-1.50197,-4.267075,-1.42235833333333,3,1665.29,1665.46
1753,7,"1753-7-15 00:00:00",1753.54,-1.77737018660403,-1.50197,-4.267075,-1.42235833333333,3,1753.38,1753.54
1849,2,"1849-2-15 00:00:00",1849.12,-2.21615103544061,-1.50197,-4.267075,-1.42235833333333,3,1848.96,1849.12
1910,5,"1910-5-15 00:00:00",1910.38,-1.84928406518554,-1.50197,-4.267075,-1.42235833333333,3,1910.21,1910.38
1644,1,"1644-1-15 00:00:00",1644.04,-2.30683906982417,-2.112398,-4.259122,-1.41970733333333,3,1643.88,1644.04
2017,2,"2017-2-15 00:00:00",2017.12,-1.83800150775716,-1.50202,-4.25766,-1.41922,3,2016.96,2017.12
1918,3,"1918-3-15 00:00:00",1918.21,-1.77786413094787,-1.885456,-4.226673,-1.408891,3,1918.04,1918.21
1778,9,"1778-9-15 00:00:00",1778.71,-1.7384612962351,-2.112398,-4.105367,-2.0526835,2,1778.62,1778.71
2016,9,"2016-9-15 00:00:00",2016.71,-1.8572025208903,-1.76793,-3.927144,-1.309048,3,2016.62,2016.79
2008,6,"2008-6-15 00:00:00",2008.46,-2.12936837486501,-2,-3.904248,-1.301416,3,2008.38,2008.54
1907,6,"1907-6-15 00:00:00",1907.46,-0.688804854091748,-1.265105,-3.821118,-0.7642236,5,1907.12,1907.46
1547,4,"1547-4-15 00:00:00",1547.29,-1.57750024293548,-1.50197,-3.710503,-1.23683433333333,3,1547.12,1547.29
1572,5,"1572-5-15 00:00:00",1572.38,-1.79514213683599,-1.50197,-3.710503,-1.23683433333333,3,1572.21,1572.38
1619,2,"1619-2-15 00:00:00",1619.12,-1.75333027340428,-1.50197,-3.710503,-1.23683433333333,3,1618.96,1619.12
1654,11,"1654-11-15 00:00:00",1654.88,-1.65874385594282,-1.50197,-3.710503,-1.23683433333333,3,1654.71,1654.88
1937,12,"1937-12-15 00:00:00",1937.96,-1.81786916169319,-1.50197,-3.710503,-1.23683433333333,3,1937.79,1937.96
1821,2,"1821-2-15 00:00:00",1821.12,-1.32268204178759,-1.696463,-3.606322,-1.20210733333333,3,1820.96,1821.12
1973,9,"1973-9-15 00:00:00",1973.71,-1.84271860206385,-2.009837,-3.509837,-1.7549185,2,1973.62,1973.71
1500,7,"1500-7-15 00:00:00",1500.54,-1.45290840099299,-2,-3.5,-1.75,2,1500.46,1500.54
1580,11,"1580-11-15 00:00:00",1580.88,-1.36847846756348,-2,-3.5,-1.75,2,1580.79,1580.88
1725,12,"1725-12-15 00:00:00",1725.96,-1.61387830358177,-2,-3.5,-1.75,2,1725.88,1725.96
1833,6,"1833-6-15 00:00:00",1833.46,-1.48833338193123,-2,-3.5,-1.75,2,1833.38,1833.46
1896,2,"1896-2-15 00:00:00",1896.12,-1.55647394572257,-2,-3.5,-1.75,2,1896.04,1896.12
1899,3,"1899-3-15 00:00:00",1899.21,-1.18328021814096,-2,-3.5,-1.75,2,1899.12,1899.21
2006,7,"2006-7-15 00:00:00",2006.54,-1.17870574997834,-2,-3.5,-1.75,2,2006.46,2006.54
1861,2,"1861-2-15 00:00:00",1861.12,-1.23787847811844,-1.885456,-3.473638,-1.15787933333333,3,1860.96,1861.12
1825,7,"1825-7-15 00:00:00",1825.54,-1.58195626843807,-2.149888,-3.439396,-1.14646533333333,3,1825.46,1825.62
1927,1,"1927-1-15 00:00:00",1927.04,-1.90657742120153,-1.50197,-3.411829,-1.13727633333333,3,1926.96,1927.12
2013,8,"2013-8-15 00:00:00",2013.62,-1.96587407901656,-1.90408,-3.40408,-1.70204,2,2013.54,2013.62
1502,8,"1502-8-15 00:00:00",1502.62,-1.68059716337816,-1.885456,-3.385456,-1.692728,2,1502.54,1502.62
1512,8,"1512-8-15 00:00:00",1512.62,-1.35732501290379,-1.885456,-3.385456,-1.692728,2,1512.54,1512.62
1564,7,"1564-7-15 00:00:00",1564.54,-1.06928043812488,-1.885456,-3.385456,-1.692728,2,1564.46,1564.54
1568,6,"1568-6-15 00:00:00",1568.46,-1.35204701430719,-1.885456,-3.385456,-1.692728,2,1568.38,1568.46
1570,7,"1570-7-15 00:00:00",1570.54,-1.51055377760075,-1.885456,-3.385456,-1.692728,2,1570.46,1570.54
1593,10,"1593-10-15 00:00:00",1593.79,-1.4617524947264,-1.885456,-3.385456,-1.692728,2,1593.71,1593.79
1635,7,"1635-7-15 00:00:00",1635.54,-1.40879541455875,-1.885456,-3.385456,-1.692728,2,1635.46,1635.54
1690,7,"1690-7-15 00:00:00",1690.54,-1.68332416209601,-1.885456,-3.385456,-1.692728,2,1690.46,1690.54
1704,4,"1704-4-15 00:00:00",1704.29,-1.52211211564782,-1.885456,-3.385456,-1.692728,2,1704.21,1704.29
1745,2,"1745-2-15 00:00:00",1745.12,-1.90098373369215,-1.885456,-3.385456,-1.692728,2,1745.04,1745.12
1748,9,"1748-9-15 00:00:00",1748.71,-0.913634739788023,-1.885456,-3.385456,-1.692728,2,1748.62,1748.71
1752,5,"1752-5-15 00:00:00",1752.38,-1.30562833187182,-1.885456,-3.385456,-1.692728,2,1752.29,1752.38
1767,9,"1767-9-15 00:00:00",1767.71,-1.41941421238102,-1.885456,-3.385456,-1.692728,2,1767.62,1767.71
1769,1,"1769-1-15 00:00:00",1769.04,-1.23210470458419,-1.885456,-3.385456,-1.692728,2,1768.96,1769.04
1776,1,"1776-1-15 00:00:00",1776.04,-1.45301143303021,-1.885456,-3.385456,-1.692728,2,1775.96,1776.04
1848,6,"1848-6-15 00:00:00",1848.46,-1.98326538052207,-1.885456,-3.385456,-1.692728,2,1848.38,1848.46
1851,2,"1851-2-15 00:00:00",1851.12,-1.89810485956751,-1.885456,-3.385456,-1.692728,2,1851.04,1851.12
1885,2,"1885-2-15 00:00:00",1885.12,-1.55710098156546,-1.885456,-3.385456,-1.692728,2,1885.04,1885.12
1901,6,"1901-6-15 00:00:00",1901.46,-1.32328469971068,-1.885456,-3.385456,-1.692728,2,1901.38,1901.46
1904,1,"1904-1-15 00:00:00",1904.04,-1.39098328545326,-1.885456,-3.385456,-1.692728,2,1903.96,1904.04
1935,8,"1935-8-15 00:00:00",1935.62,-2.16361278900393,-1.885456,-3.385456,-1.692728,2,1935.54,1935.62
2015,6,"2015-6-15 00:00:00",2015.46,-1.18525008212553,-1.18356,-3.385296,-0.846324,4,2015.38,2015.62
2009,9,"2009-9-15 00:00:00",2009.71,-1.76630646621693,-1.8148,-3.3148,-1.6574,2,2009.62,2009.71
1668,12,"1668-12-15 00:00:00",1668.96,-1.91527814970404,-1.992969,-3.258074,-1.629037,2,1668.88,1668.96
1728,12,"1728-12-15 00:00:00",1728.96,-1.32746284824018,-1.992969,-3.258074,-1.629037,2,1728.88,1728.96
2026,1,"2026-1-15 00:00:00",2026.04,-1.94701979215727,-1.62885,-3.25502,-1.62751,2,2025.96,2026.04
2023,6,"2023-6-15 00:00:00",2023.46,-1.50012006276345,-1.8514,-2.98404,-1.49202,2,2023.38,2023.46
1708,5,"1708-5-15 00:00:00",1708.38,-1.41902779443636,-2,-2.943428,-1.471714,2,1708.29,1708.38
1507,10,"1507-10-15 00:00:00",1507.79,-1.47821749579646,-1.265105,-2.853287,-0.951095666666667,3,1507.71,1507.88
1546,8,"1546-8-15 00:00:00",1546.62,-1.32507051939734,-1.265105,-2.853287,-0.951095666666667,3,1546.54,1546.71
1560,3,"1560-3-15 00:00:00",1560.21,-1.1329191354898,-1.265105,-2.853287,-0.951095666666667,3,1560.12,1560.29
1733,8,"1733-8-15 00:00:00",1733.62,-1.65015145399264,-1.265105,-2.853287,-0.951095666666667,3,1733.54,1733.71
1774,8,"1774-8-15 00:00:00",1774.62,-1.40377467828274,-1.265105,-2.853287,-0.951095666666667,3,1774.54,1774.71
1793,4,"1793-4-15 00:00:00",1793.29,-1.29278220258416,-1.265105,-2.853287,-0.951095666666667,3,1793.12,1793.29
1628,3,"1628-3-15 00:00:00",1628.21,-1.40179366091791,-1.885456,-2.828884,-1.414442,2,1628.12,1628.21
1642,12,"1642-12-15 00:00:00",1642.96,-1.19200971153945,-1.885456,-2.828884,-1.414442,2,1642.88,1642.96
1758,5,"1758-5-15 00:00:00",1758.38,-1.63180353372174,-1.885456,-2.828884,-1.414442,2,1758.29,1758.38
1766,1,"1766-1-15 00:00:00",1766.04,-1.5037633409814,-1.885456,-2.828884,-1.414442,2,1765.96,1766.04
1871,12,"1871-12-15 00:00:00",1871.96,-1.37631932338667,-1.885456,-2.828884,-1.414442,2,1871.88,1871.96
1769,10,"1769-10-15 00:00:00",1769.79,-1.21412578730913,-1.5,-2.813911,-0.70347775,4,1769.71,1769.96
1606,3,"1606-3-15 00:00:00",1606.21,-1.30563930766502,-1.5,-2.789508,-0.929836,3,1606.12,1606.29
1812,1,"1812-1-15 00:00:00",1812.04,-1.48259059094817,-1.5,-2.789508,-0.929836,3,1811.96,1812.12
1979,7,"1979-7-15 00:00:00",1979.54,-1.37348356771442,-1.5,-2.789508,-0.929836,3,1979.46,1979.62
1525,4,"1525-4-15 00:00:00",1525.29,-1.70688933328195,-1.50197,-2.767075,-1.3835375,2,1525.21,1525.29
1604,8,"1604-8-15 00:00:00",1604.62,-1.92673881404616,-1.50197,-2.767075,-1.3835375,2,1604.54,1604.62
1811,9,"1811-9-15 00:00:00",1811.71,-1.90824762838334,-1.50197,-2.767075,-1.3835375,2,1811.62,1811.71
1933,9,"1933-9-15 00:00:00",1933.71,-2.04587053321493,-1.50197,-2.767075,-1.3835375,2,1933.62,1933.71
1947,1,"1947-1-15 00:00:00",1947.04,-1.68189394900411,-1.50197,-2.767075,-1.3835375,2,1946.96,1947.04
1948,5,"1948-5-15 00:00:00",1948.38,-2.1173872947043,-1.50197,-2.767075,-1.3835375,2,1948.29,1948.38
1957,12,"1957-12-15 00:00:00",1957.96,-1.74591943974555,-1.50197,-2.767075,-1.3835375,2,1957.88,1957.96
1997,1,"1997-1-15 00:00:00",1997.04,-1.09051689473879,-2,-2.723009,-1.3615045,2,1996.96,1997.04
1762,7,"1762-7-15 00:00:00",1762.54,-1.1447640192584,-1.885456,-2.480395,-0.826798333333333,3,1762.38,1762.54
1531,9,"1531-9-15 00:00:00",1531.71,-1.19101581374269,-0.943428,-2.232936,-0.744312,3,1531.62,1531.79
1659,5,"1659-5-15 00:00:00",1659.38,-1.11508255130314,-0.943428,-2.232936,-0.744312,3,1659.29,1659.46
1523,4,"1523-4-15 00:00:00",1523.29,-1.47034954268034,-1.265105,-2.208533,-1.1042665,2,1523.21,1523.29
1524,11,"1524-11-15 00:00:00",1524.88,-1.50875343897662,-1.265105,-2.208533,-1.1042665,2,1524.79,1524.88
1543,11,"1543-11-15 00:00:00",1543.88,-0.888818784126105,-1.265105,-2.208533,-1.1042665,2,1543.79,1543.88
1558,4,"1558-4-15 00:00:00",1558.29,-0.924218782049849,-1.265105,-2.208533,-1.1042665,2,1558.21,1558.29
1562,12,"1562-12-15 00:00:00",1562.96,-1.1420363515488,-1.265105,-2.208533,-1.1042665,2,1562.88,1562.96
1563,5,"1563-5-15 00:00:00",1563.38,-1.31475896031856,-1.265105,-2.208533,-1.1042665,2,1563.29,1563.38
1580,5,"1580-5-15 00:00:00",1580.38,-1.17223827242705,-1.265105,-2.208533,-1.1042665,2,1580.29,1580.38
1599,4,"1599-4-15 00:00:00",1599.29,-1.12744379907089,-1.265105,-2.208533,-1.1042665,2,1599.21,1599.29
1601,8,"1601-8-15 00:00:00",1601.62,-1.34413541894302,-1.265105,-2.208533,-1.1042665,2,1601.54,1601.62
1613,5,"1613-5-15 00:00:00",1613.38,-0.865230748586735,-1.265105,-2.208533,-1.1042665,2,1613.29,1613.38
1641,10,"1641-10-15 00:00:00",1641.79,-1.37032221416367,-1.265105,-2.208533,-1.1042665,2,1641.71,1641.79
1642,9,"1642-9-15 00:00:00",1642.71,-0.916096390809934,-1.265105,-2.208533,-1.1042665,2,1642.62,1642.71
1646,2,"1646-2-15 00:00:00",1646.12,-1.20341441601097,-1.265105,-2.208533,-1.1042665,2,1646.04,1646.12
1655,5,"1655-5-15 00:00:00",1655.38,-1.18343419732648,-1.265105,-2.208533,-1.1042665,2,1655.29,1655.38
1666,1,"1666-1-15 00:00:00",1666.04,-1.3424480038395,-1.265105,-2.208533,-1.1042665,2,1665.96,1666.04
1689,1,"1689-1-15 00:00:00",1689.04,-1.09897804602639,-1.265105,-2.208533,-1.1042665,2,1688.96,1689.04
1768,6,"1768-6-15 00:00:00",1768.46,-0.892470016390833,-1.265105,-2.208533,-1.1042665,2,1768.38,1768.46
1775,1,"1775-1-15 00:00:00",1775.04,-1.46229637400111,-1.265105,-2.208533,-1.1042665,2,1774.96,1775.04
1775,9,"1775-9-15 00:00:00",1775.71,-0.966456780809143,-1.265105,-2.208533,-1.1042665,2,1775.62,1775.71
1823,5,"1823-5-15 00:00:00",1823.38,-1.46869451797286,-1.265105,-2.208533,-1.1042665,2,1823.29,1823.38
1850,6,"1850-6-15 00:00:00",1850.46,-1.22290478346851,-1.265105,-2.208533,-1.1042665,2,1850.38,1850.46
1853,3,"1853-3-15 00:00:00",1853.21,-0.683140172451579,-1.265105,-2.208533,-1.1042665,2,1853.12,1853.21
1889,12,"1889-12-15 00:00:00",1889.96,-0.777389971489132,-1.265105,-2.208533,-1.1042665,2,1889.88,1889.96
1894,7,"1894-7-15 00:00:00",1894.54,-1.51430508491097,-1.265105,-2.208533,-1.1042665,2,1894.46,1894.54
1901,2,"1901-2-15 00:00:00",1901.12,-1.31298914710988,-1.265105,-2.208533,-1.1042665,2,1901.04,1901.12
1902,7,"1902-7-15 00:00:00",1902.54,-1.66185889311522,-1.265105,-2.208533,-1.1042665,2,1902.46,1902.54
1955,4,"1955-4-15 00:00:00",1955.29,-1.70837020655972,-1.265105,-2.208533,-1.1042665,2,1955.21,1955.29
1957,1,"1957-1-15 00:00:00",1957.04,-1.05275663109891,-1.265105,-2.208533,-1.1042665,2,1956.96,1957.04
1957,5,"1957-5-15 00:00:00",1957.38,-1.20804358710704,-1.265105,-2.208533,-1.1042665,2,1957.29,1957.38
1984,8,"1984-8-15 00:00:00",1984.62,-1.39724668141934,-1.265105,-2.208533,-1.1042665,2,1984.54,1984.62
1985,10,"1985-10-15 00:00:00",1985.79,-0.845615215414393,-1.5,-2.169157,-0.723052333333333,3,1985.62,1985.79
1760,9,"1760-9-15 00:00:00",1760.71,-1.95830122308349,-1.50197,-2.146724,-1.073362,2,1760.62,1760.71
1902,4,"1902-4-15 00:00:00",1902.29,-1.48205160191284,-1.50197,-2.146724,-1.073362,2,1902.21,1902.29
1990,5,"1990-5-15 00:00:00",1990.38,-1.078504625132,-1.50197,-2.146724,-1.073362,2,1990.29,1990.38
2011,11,"2011-11-15 00:00:00",2011.88,-0.969145272756983,-1.88848,-2.141063,-1.0705315,2,2011.79,2011.88
1816,1,"1816-1-15 00:00:00",1816.04,-1.04136363557213,-2.009837,-2.03424,-1.01712,2,1815.96,1816.04
1999,10,"1999-10-15 00:00:00",1999.79,-0.782106238940456,-0.724288,-1.785981,-0.595327,3,1999.62,1999.79
2009,1,"2009-1-15 00:00:00",2009.04,-1.01386809090184,-1.03097,-1.76972,-0.88486,2,2008.96,2009.04
1838,4,"1838-4-15 00:00:00",1838.29,-1.14862157467294,-1.696463,-1.720866,-0.860433,2,1838.21,1838.29
2013,4,"2013-4-15 00:00:00",2013.29,-1.00157270872087,-0.909831,-1.605774,-0.802887,2,2013.21,2013.29
1549,9,"1549-9-15 00:00:00",1549.71,-1.0232711506778,-0.943428,-1.588182,-0.794091,2,1549.62,1549.71
1553,9,"1553-9-15 00:00:00",1553.71,-1.02342269481985,-0.943428,-1.588182,-0.794091,2,1553.62,1553.71
1715,11,"1715-11-15 00:00:00",1715.88,-1.31223920629209,-0.943428,-1.588182,-0.794091,2,1715.79,1715.88
1838,9,"1838-9-15 00:00:00",1838.71,-1.50689253783321,-0.943428,-1.588182,-0.794091,2,1838.62,1838.71
1899,8,"1899-8-15 00:00:00",1899.62,-1.72722400587465,-0.943428,-1.588182,-0.794091,2,1899.54,1899.62
1913,10,"1913-10-15 00:00:00",1913.79,-1.29487324408854,-0.943428,-1.588182,-0.794091,2,1913.71,1913.79
1613,10,"1613-10-15 00:00:00",1613.79,-1.07345503274312,-1.5,-1.524403,-0.7622015,2,1613.71,1613.79
1637,6,"1637-6-15 00:00:00",1637.46,-1.05986759486609,-1.5,-1.524403,-0.7622015,2,1637.38,1637.46
1749,5,"1749-5-15 00:00:00",1749.38,-0.930560994858756,-1.5,-1.524403,-0.7622015,2,1749.29,1749.38
1790,11,"1790-11-15 00:00:00",1790.88,-0.644107122600655,-1.5,-1.524403,-0.7622015,2,1790.79,1790.88
1807,1,"1807-1-15 00:00:00",1807.04,-0.554322338872546,-1.5,-1.524403,-0.7622015,2,1806.96,1807.04
1943,8,"1943-8-15 00:00:00",1943.62,-0.579037656596435,-1.5,-1.524403,-0.7622015,2,1943.54,1943.62
1584,12,"1584-12-15 00:00:00",1584.96,-0.793479593235555,-0.943428,-0.967831,-0.4839155,2,1584.88,1584.96
1695,12,"1695-12-15 00:00:00",1695.96,-0.589345709248162,-0.943428,-0.967831,-0.4839155,2,1695.88,1695.96
1828,11,"1828-11-15 00:00:00",1828.88,-0.570552021224627,-0.943428,-0.967831,-0.4839155,2,1828.79,1828.88
1829,2,"1829-2-15 00:00:00",1829.12,-0.801442176366059,-0.943428,-0.967831,-0.4839155,2,1829.04,1829.12
1866,6,"1866-6-15 00:00:00",1866.46,-0.660490017219874,-0.943428,-0.967831,-0.4839155,2,1866.38,1866.46
1942,2,"1942-2-15 00:00:00",1942.12,-0.848043688032067,-0.943428,-0.967831,-0.4839155,2,1942.04,1942.12
1970,9,"1970-9-15 00:00:00",1970.71,-0.80149103471626,-0.943428,-0.967831,-0.4839155,2,1970.62,1970.71
2014,11,"2014-11-15 00:00:00",2014.88,-0.727838303810929,-1.12851,-0.884211,-0.4421055,2,2014.79,2014.88
