"longitude";"latitude";"count"
11.0772867010193;49.4539683527812;20
8.2428544521332;50.0822751863074;1
8.5;47.95;4
11.8575315052797;49.4446984230012;24
6.883056;47.440556;1
9.366667;47.633333;3
8.2145919001083;53.1385358371509;6
11.1843170529175;47.9673963169125;4
7.35816955554196;48.0773530525662;9
10.9883799682617;49.5719571153975;3
8.77583;49.73333;6
7.77008056640625;48.069591188527;1
7.844875;47.994248;1
8.462;47.6984;1
8.83472;52.22616;3
8.034;48.3922;2
10.1618105661011;49.7388218452459;43
7.75134798153681;48.5820162233963;65
7.088611;48.940833;2
10.7944853782653;51.5019027312576;2
7.86033153533936;47.9906684230843;3
13.11666;51.11666;12
7.0763;47.4158;1
7.701111;48.7925;1
7.83333;50.43333;6
6.2;52;1
13.4005737670898;52.5172523696439;6
9.73500292590336;52.371722030463;2
14.5538153968506;52.3442087166897;10
7.42564401243328;48.3229387428737;1
11.3;49.66666;2
7.8567;48.0134;2
6.85341;47.48327;1
10.0635782128143;49.6642346458171;1
7.53683614288332;47.207892906214;1
11.4978759765625;52.0752537888561;1
7.215833;47.861944;14
8.89326;50.47367;1
10.1436573754883;49.6668908093246;1
6.134148;46.207161;1
14.3;50.3;9
7.78043943620685;47.9579634553755;8
8.61222637947083;53.1604930944501;2
7.35282937368027;48.2250899498904;2
7.5799;48.029;2
8.8177;47.98464;1
10.4959091186523;49.8484463278333;1
6.95827265341188;50.9413261758928;4
7.559167;48.780833;2
7.83333;51.33333;1
7.818589;48.007353;4
8.2135;47.6227;1
7.8128;48.0147;2
6.02647345501714;47.2360049288083;11
7.31904195976023;48.1951054152179;3
6.77209002642826;51.2258567870197;1
10.7;51.001;2
10.9454402446747;50.8337162361631;2
7.09704627134738;47.6660303338571;1
7.6611;47.6117;2
13;51.5;2
9.08333;48.46666;2
7.923;48.076;1
7.5;49.8476455362948;4
7.8293;47.9828;1
9.46491152577192;48.5972917852857;14
9.67653025131222;50.5516437102166;2
8.11666;51.58333;2
12.319107;52.374761;2
6.36749267578125;49.465988539241;1
9.27726536560056;48.8815212340253;1
7.838509;47.981223;1
7.5584;48.0059;1
7.857209;48.007401;1
10.88281;48.04819;3
8.59285354614258;49.3943288915635;1
8.955917;48.656727;23
7;49.23333;2
5.4906;47.0931;1
11.6798109417725;51.2235612287645;1
7.95616149902344;47.9663645978452;8
8.24109999999996;48.7629;1
6.14846026730345;46.2012504435292;1
8.70776043048863;53.1107740630828;1
8.223;48.027;1
7.71196782588959;47.9583020928492;1
12.0984899245758;49.0195846345526;39
7.81941;48.007392;5
7.8574;48.0096;1
7.5892;48.5617;1
8.4452;49.4813;4
10.8515108834839;49.4206764773155;1
9.38527;47.72694;5
10.3226788770294;49.4508579099186;20
8.46819457533263;49.4898414999776;12
11.346349;47.592234;1
10.71666;50.95;1
10.5;51.5;2
10.5725153332519;49.3027984232912;7
13.7380995608521;51.0496499572118;4
9.27081886375424;47.693229538895;42
7.528;48.0175;1
7.5;49.4;1
7.853;47.9955;1
6.64375653038019;49.7562344831765;13
8.35;51.66666;1
6.8639;47.6386;12
10.7741;48.6757;1
11.5;49;2
7.8566;48.0134;1
8.179836;47.391028;5
7.8535;48.0072;3
7.2975;48.1669;3
6.840556;48.665;1
10.2608635264587;49.7042634831271;1
11.5;47.1;2
11.2651062011719;51.5878630882047;1
9.62033;50.52859;1
8.8403;47.75935;1
7.5;53.33333;1
7.24662166400913;47.1414989432402;2
10.5;51.2;3
9.99287605285645;48.3985539788835;10
11.26666;51.08333;14
7.162710374218;47.7192118487941;1
11.4748764038086;49.0353921280893;1
13.4658908624267;48.5741015499156;1
6.927778;48.684444;1
12.3;45.5;3
8.605042;49.126915;2
11.8;51.16666;3
9.41666;49.91666;3
8.19808;50.1897;5
13.41053;52.52437;1
7.8119;48.2529;1
13.0665715580749;50.65552345319;3
9.72901961914067;50.9953510988782;43
8.1334;47.7667;9
14.28564453125;47.4851533899847;1
9;48.502;65
7.83333;52.21666;1
8.7645893346405;50.1044180453589;2
7.8467;47.9943;1
10.3195782434082;50.9746566675891;3
8.45;48.06666;24
9.49787418252561;51.315740188008;6
10.9;50.801;1
8.51151679687496;50.8120145329176;1
7.7315;47.8815;2
13.4705445396728;51.1631345530546;4
7.821403;48.008542;2
7.2351;48.0741;1
13.5;50.3;10
7.85585224628448;47.9902555546984;1
11.7361661666565;51.7987095664893;26
7.826824;48.003588;1
11.4745330810547;49.0338165438685;1
14.5472717285156;53.429992101325;1
8.61666;48.16666;3
7.2815;48.1253;2
11.0572847850418;49.7197077004456;1
7.3555;48.5197;2
11.3;49.61666;1
7.932;48.4959;1
13.090451335907;54.3159992854783;1
7.826761;48.00573;1
12.3539482116699;53.2866909739682;1
10.95;49.36666;2
5.55500193917851;46.6735536879409;2
7.85303573541262;47.9955075846867;132
11.5742196726303;49.9431972278452;1
11;50.9;9
7.849588;48.004898;3
8.7;47.7;4
7.81153720104976;48.5736542292166;2
7.84543;47.994239;4
