"longitude";"latitude";"count"
12.33265;45.43713;3
11.3045597553253;51.9940432508949;4
7.579675;51.067329;3
10.21575;53.45866;2
11.88333;53.78333;29
8.33333;54.9;4
10.9398967;54.2355271;9
11.97938;52.47284;2
11.8575315052797;49.4446984230012;516
9.66118812561035;48.3867532099209;4
8.74752044677734;47.1277317434744;2
7.2774;47.623;4
10.38333;50.56666;4
11.0418;49.7415;1
7.527;48.311;8
14.5;49.5;1
8.77583;49.73333;626
9.1615;49.2306;5
6.777706;50.380557;37
11.2480683598022;51.189457341121;9
11.2993026256561;52.6071284007048;2
7.783;48.0527;18
12.8;50.1;4
10.2048333406449;49.7276502791043;8
7.65721;47.87467;11
8.019086;47.840031;2
13.536873;51.293056;2
7.1868;49.894;2
8.70622468521117;49.0362551978181;3
10.8;47.700001;5
10.25;51.05;24
9.2144;48.8053;16
9.73500292590336;52.371722030463;956
8.34148235847476;49.767606504964;2
10.68729;53.86893;1
6.85341;47.48327;1
8.67846374511714;47.2438361966406;13
14.2919647989502;46.6868922641273;1
7.3696;47.7878;5
9.27408174331663;51.1307682300375;9
7.2659;47.642;4
8.5715;48.2896;12
7.6046;50.3586;15
7.2165;47.5351;4
5.36035537719727;46.0530841058025;1
9.2039;48.9708;1
10.03333;49.68333;22
7.1134;47.6069;7
9.843;48.613;2
14.8705900899658;52.4541490452209;1
9;50;4
7.1293;47.6397;4
7.75471687316894;48.1485076388276;1
9.95131179161831;48.0709784991841;1
7.908;47.9663;1
12.1755339179992;53.7933820048078;12
8.98584990074164;49.4622407034277;14
8.7857;48.4505;5
7.8128;48.0147;8
11.0064121481934;47.7944763628494;8
11.7381027989502;52.0210818973494;4
7.5286;47.7089;12
11.9707228937568;52.5408167815821;26
7.09704627134738;47.6660303338571;1
9.67653025131222;50.5516437102166;102
7.3179;47.7211;57
9.8142;50.0439;3
11.43333;48.76666;18
12.09;49.05694;4
7.1204;47.5954;1
7;49.23333;26
11.2030827857361;51.383345958198;4
11.6798109417725;51.2235612287645;52
10.1086259841919;48.1237198179877;3
14.2762245092621;45.2916747436891;1
10.23333;49.86666;10
7.81941;48.007392;31
9.436199963646;54.7827669792367;24
9.75;49.11666;1
9.41793;48.70968;1
7.0788;47.8305;10
13.28333;54.3;1
9.5603;49.7729;1
7.71137237548828;47.9346317602466;2
7.8817;48.1012;6
10.0712143909072;48.4153874679494;1
7.8654;49.9563;1
10.6;53.6;1
7.2047;48.0537;19
6;48.4;46
8.4132;48.0756;11
9.025;49.3417;1
7.6404;47.5921;2
6.2956;48.4652;3
8.05787086486816;48.3039788795985;5
7.21399;50.83868;2
7.306;48.0427;1
11.7;52.93333;2
6.95;50.93333;266
8.6;54.33333;5
8.55347077846523;47.8920678492015;1
9.0041;49.4323;6
10.16666;49.71666;12
